spawnCode,delay,enemyType,posX,posY,dropItemName,movX,movY,degreeZ,movSpeed,movingType,movDesX,movDesY,movExitX,movExitY,fieldTimeLimit,bulletType,bulletName,patternType,bulletSpeed,shootLimit,firstWaitTime,waitTime
104,0.3,EnemyS_C,-1.2,4,,0,-0.5,0,2,slow,-1.2,1.6,-2,1,4,srt,EBS_A,str,4,1,1.5,5
104,0,EnemyS_C,1.2,4,,0,-0.5,0,2,slow,1.2,1.6,2,1,4,srt,EBS_A,str,4,1,1.5,5
104,0.3,EnemyS_C,-1.8,4,silver,0,-0.5,0,2,slow,-1.8,1.2,-2,1,4,srt,EBS_A,str,4,1,1.5,5
104,0,EnemyS_C,1.8,4,silver,0,-0.5,0,2,slow,1.8,1.2,2,1,4,srt,EBS_A,str,4,1,1.5,5
111,3.5,EnemyS_D,3.5,2.5,,0,1,120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
111,0.15,EnemyS_D,3.5,3.5,silver,0,1,120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
111,0.15,EnemyS_D,3.5,2.5,,0,1,120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.8,5
111,0.15,EnemyS_D,3.5,3.5,silver,0,1,120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.8,5
111,0.15,EnemyS_D,3.5,2.5,,0,1,120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,1,5
111,0.15,EnemyS_D,3.5,3.5,silver,0,1,120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,1,5
111,0.15,EnemyS_D,3.5,2.5,,0,1,120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,1.2,5
111,0.15,EnemyS_D,3.5,3.5,silver,0,1,120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,1.2,5
112,1.5,EnemyS_D,-3.5,2.5,,0,1,-120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
112,0.15,EnemyS_D,-3.5,3.5,silver,0,1,-120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
112,0.15,EnemyS_D,-3.5,2.5,,0,1,-120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.8,5
112,0.15,EnemyS_D,-3.5,3.5,silver,0,1,-120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.8,5
112,0.15,EnemyS_D,-3.5,2.5,,0,1,-120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,1,5
112,0.15,EnemyS_D,-3.5,3.5,silver,0,1,-120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,1,5
112,0.15,EnemyS_D,-3.5,2.5,,0,1,-120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,1.2,5
112,0.15,EnemyS_D,-3.5,3.5,silver,0,1,-120,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,1.2,5
113,1.5,EnemyL_A,0,5,gold,0,0,0,1,slow,0,2,0,-1,8,acc,EBM_A,way,2.5,5,1.5,2
113,1,EnemyS_B,-3,4,,0,-0.5,0,2,slow,-2,2.5,-1,-1,3,str,EBS_A,str,4,1,1.5,5
113,0.75,EnemyS_B,-3,4,,0,-0.5,0,2,slow,-2,2.5,-1,-1,3,str,EBS_A,str,4,1,1.5,5
113,0.75,EnemyS_B,-3,4,silver,0,-0.5,0,2,slow,-2,2.5,-1,-1,3,str,EBS_A,str,4,1,1.5,5
113,1,EnemyS_B,3,4,,0,-0.5,0,2,slow,2,2.5,1,-1,3,str,EBS_A,str,4,1,1.5,5
113,0.75,EnemyS_B,3,4,,0,-0.5,0,2,slow,2,2.5,1,-1,3,str,EBS_A,str,4,1,1.5,5
113,0.75,EnemyS_B,3,4,silver,0,-0.5,0,2,slow,2,2.5,1,-1,3,str,EBS_A,str,4,1,1.5,5
113,1,EnemyS_D,-2,4,,0,1,180,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
113,0.2,EnemyS_D,-2,4,,0,1,180,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
113,0.2,EnemyS_D,-2,4,silver,0,1,180,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.8,5
113,1,EnemyS_D,2,4,,0,1,180,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
113,0.2,EnemyS_D,2,4,,0,1,180,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
113,0.2,EnemyS_D,2,4,silver,0,1,180,5,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.8,5
114,0.5,EnemyS_C,-0.6,4,silver,0,-1,0,2,slow,-0.6,2,-2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0,EnemyS_C,0.6,4,silver,0,-1,0,2,slow,0.6,2,2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0.3,EnemyS_C,-1.2,4,,0,-1,0,2,slow,-1.2,1.6,-2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0,EnemyS_C,1.2,4,,0,-1,0,2,slow,1.2,1.6,2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0.3,EnemyS_C,-1.8,4,silver,0,-1,0,2,slow,-1.8,1.2,-2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0,EnemyS_C,1.8,4,silver,0,-1,0,2,slow,1.8,1.2,2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0.75,EnemyS_C,-0.6,4,,0,-1,0,2,slow,-0.6,2,-2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0,EnemyS_C,0.6,4,,0,-1,0,2,slow,0.6,2,2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0.3,EnemyS_C,-1.2,4,silver,0,-1,0,2,slow,-1.2,1.6,-2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0,EnemyS_C,1.2,4,silver,0,-1,0,2,slow,1.2,1.6,2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0.3,EnemyS_C,-1.8,4,,0,-1,0,2,slow,-1.8,1.2,-2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0,EnemyS_C,1.8,4,,0,-1,0,2,slow,1.8,1.2,2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0.75,EnemyS_C,-0.6,4,silver,0,-1,0,2,slow,-0.6,2,-2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0,EnemyS_C,0.6,4,silver,0,-1,0,2,slow,0.6,2,2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0.3,EnemyS_C,-1.2,4,,0,-1,0,2,slow,-1.2,1.6,-2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0,EnemyS_C,1.2,4,,0,-1,0,2,slow,1.2,1.6,2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0.3,EnemyS_C,-1.8,4,silver,0,-1,0,2,slow,-1.8,1.2,-2,1,4,srt,EBS_A,str,4,1,1.5,5
114,0,EnemyS_C,1.8,4,silver,0,-1,0,2,slow,1.8,1.2,2,1,4,srt,EBS_A,str,4,1,1.5,5
121,2,EnemyS_D,-2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,0.2,EnemyS_D,-1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,0.2,EnemyS_D,-2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,0.2,EnemyS_D,-1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,0,EnemyM_C,1.5,5,gold,0,-1,0,1,slow,1.5,2,2,1,5,str,EBS_A,spr,2.5,4,1.5,2
121,1,EnemyS_D,-2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,0.2,EnemyS_D,-1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,0.2,EnemyS_D,-2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,0.2,EnemyS_D,-1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,1,EnemyM_C,1.5,5,gold,0,-1,0,1,slow,1.5,3,2,1,5,str,EBS_A,spr,2.5,4,1.5,2
121,0,EnemyS_D,-2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,0.2,EnemyS_D,-1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,0.2,EnemyS_D,-2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,0.2,EnemyS_D,-1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,1,EnemyS_D,-2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,0.2,EnemyS_D,-1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,0.2,EnemyS_D,-2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
121,0.2,EnemyS_D,-1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,1.5,EnemyS_D,2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,0.2,EnemyS_D,1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,0.2,EnemyS_D,2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,0.2,EnemyS_D,1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,0,EnemyM_C,-1.5,5,gold,0,-1,0,1,slow,-1.5,2,-2,-1,5,str,EBS_A,spr,2.5,4,1.5,2
122,1,EnemyS_D,2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,0.2,EnemyS_D,1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,0.2,EnemyS_D,2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,0.2,EnemyS_D,1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,1,EnemyM_C,-1.5,5,gold,0,-1,0,1,slow,-1.5,3,-2,-1,5,str,EBS_A,spr,2.5,4,1.5,2
122,0,EnemyS_D,2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,0.2,EnemyS_D,1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,0.2,EnemyS_D,2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,0.2,EnemyS_D,1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,1,EnemyS_D,2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,0.2,EnemyS_D,1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,0.2,EnemyS_D,2,4,,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
122,0.2,EnemyS_D,1.6,4,silver,0,1,180,4,acc,0,0,0,0,99,str,EBS_A,str,4,1,0.6,5
123,1.5,EnemyS_B,-1.6,4,,0,-0.5,0,2,slow,-1.6,2.5,0,-1,4,srt,EBS_A,down,4,3,1,5
123,0,EnemyS_B,-0.8,4,silver,0,-0.5,0,2,slow,-0.8,2.5,0,-1,4,srt,EBS_A,down,4,3,1,5
123,0,EnemyS_B,0,4,,0,-0.5,0,2,slow,0,2.5,0,-1,4,srt,EBS_A,down,4,3,1,5
123,0,EnemyS_B,0.8,4,silver,0,-0.5,0,2,slow,0.8,2.5,0,-1,4,srt,EBS_A,down,4,3,1,5
123,0,EnemyS_B,1.6,4,,0,-0.5,0,2,slow,1.6,2.5,0,-1,4,srt,EBS_A,down,4,3,1,5
123,1.5,EnemyS_B,-1.6,4,,0,-0.5,0,2,slow,-1.6,2.5,0,-1,4,srt,EBS_A,str,4,1,1,5
123,0,EnemyS_B,-0.8,4,silver,0,-0.5,0,2,slow,-0.8,2.5,0,-1,4,srt,EBS_A,str,4,1,1,5
123,0,EnemyS_B,0,4,,0,-0.5,0,2,slow,0,2.5,0,-1,4,srt,EBS_A,str,4,1,1,5
123,0,EnemyS_B,0.8,4,silver,0,-0.5,0,2,slow,0.8,2.5,0,-1,4,srt,EBS_A,str,4,1,1,5
123,0,EnemyS_B,1.6,4,,0,-0.5,0,2,slow,1.6,2.5,0,-1,4,srt,EBS_A,str,4,1,1,5
123,1.5,EnemyS_B,-1.6,4,,0,-0.5,0,2,slow,-1.6,2.5,0,-1,4,srt,EBS_A,down,4,3,1,5
123,0,EnemyS_B,-0.8,4,silver,0,-0.5,0,2,slow,-0.8,2.5,0,-1,4,srt,EBS_A,down,4,3,1,5
123,0,EnemyS_B,0,4,,0,-0.5,0,2,slow,0,2.5,0,-1,4,srt,EBS_A,down,4,3,1,5
123,0,EnemyS_B,0.8,4,silver,0,-0.5,0,2,slow,0.8,2.5,0,-1,4,srt,EBS_A,down,4,3,1,5
123,0,EnemyS_B,1.6,4,,0,-0.5,0,2,slow,1.6,2.5,0,-1,4,srt,EBS_A,down,4,3,1,5
123,1.5,EnemyS_B,-1.6,4,,0,-0.5,0,2,slow,-1.6,2.5,0,-1,4,srt,EBS_A,str,4,1,1,5
123,0,EnemyS_B,-0.8,4,silver,0,-0.5,0,2,slow,-0.8,2.5,0,-1,4,srt,EBS_A,str,4,1,1,5
123,0,EnemyS_B,0,4,,0,-0.5,0,2,slow,0,2.5,0,-1,4,srt,EBS_A,str,4,1,1,5
123,0,EnemyS_B,0.8,4,silver,0,-0.5,0,2,slow,0.8,2.5,0,-1,4,srt,EBS_A,str,4,1,1,5
123,0,EnemyS_B,1.6,4,,0,-0.5,0,2,slow,1.6,2.5,0,-1,4,srt,EBS_A,str,4,1,1,5
131,1,EnemyS_C,-4.8,2,,0,-0.5,0,3,slow,-1.8,2,-2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.25,EnemyS_C,-4.4,1.8,,0,-0.5,0,3,slow,-1.4,1.8,-2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.25,EnemyS_C,-4,1.6,,0,-0.5,0,3,slow,-1,1.6,-2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.25,EnemyS_C,-3.6,1.4,pow,0,-0.5,0,3,slow,-0.6,1.4,-2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.5,EnemyS_C,4.8,2,,0,-0.5,0,3,slow,1.8,2,2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.25,EnemyS_C,4.4,1.8,,0,-0.5,0,3,slow,1.4,1.8,2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.25,EnemyS_C,4,1.6,,0,-0.5,0,3,slow,1,1.6,2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.25,EnemyS_C,3.6,1.4,gold,0,-0.5,0,3,slow,0.6,1.4,2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.5,EnemyS_C,-4.8,2,,0,-0.5,0,3,slow,-1.8,2,-2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.25,EnemyS_C,-4.4,1.8,,0,-0.5,0,3,slow,-1.4,1.8,-2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.25,EnemyS_C,-4,1.6,,0,-0.5,0,3,slow,-1,1.6,-2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.25,EnemyS_C,-3.6,1.4,gold,0,-0.5,0,3,slow,-0.6,1.4,-2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.5,EnemyS_C,4.8,2,,0,-0.5,0,3,slow,1.8,2,2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.25,EnemyS_C,4.4,1.8,,0,-0.5,0,3,slow,1.4,1.8,2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.25,EnemyS_C,4,1.6,,0,-0.5,0,3,slow,1,1.6,2,-1,4,srt,EBS_A,str,4,1,1.5,5
131,0.25,EnemyS_C,3.6,1.4,gold,0,-0.5,0,3,slow,0.6,1.4,2,-1,4,srt,EBS_A,str,4,1,1.5,5
A00,1.5,Boss_A,0,4,,0,0,0,0,slow,0,1.5,0,0,60,str,EBS_A,none,0,0,1.5,0
1++,15,EnemyS_B,-3,4,pow,0,-0.5,0,2,slow,-2,2,-1,-1,3,str,EBS_A,str,4,1,1.5,5
1++,15,EnemyS_B,3,4,pow,0,-0.5,0,2,slow,2,2,1,-1,3,str,EBS_A,str,4,1,1.5,5
1++,15,EnemyS_B,-3,4,pow,0,-0.5,0,2,slow,-2,2,-1,-1,3,str,EBS_A,str,4,1,1.5,5
1++,15,EnemyS_B,3,4,pow,0,-0.5,0,2,slow,2,2,1,-1,3,str,EBS_A,str,4,1,1.5,5
